Key1;Key2;ISIN;Country;Industry;Corridor_per_TA;Funded_Status;FVDBO;FVPA;Duration;ROA;TDR;CR;Cap_Turn;MV_common_shares;FS_DUM;Size
SEK_2010;SE0002683557_2010;SE0002683557;SE;Industrial Goods & Services;0;-35,12555162;151,2844169;116,1588653;0,315217391;0,065418095;0,588103403;0,63131142;0,245713532;7374,1899;1;2,925719851
CHF_2010;CH0011795959_2010;CH0011795959;CH;Industrial Goods & Services;-0,018767027;-37,29846796;270,1532045;232,8547365;0,369791667;0,087680355;0,622742407;1,170402562;0,516295026;816,6;1;2,900355517
EUR_2010;DE0005408884_2010;DE0005408884;DE;Industrial Goods & Services;-0,024338523;-80,9;242,6;161,7;0,277027027;0,033251081;0,761492393;1,372420798;0,538473206;978,615;1;3,30478728
CHF_2010;CH0002432174_2010;CH0002432174;CH;Industrial Goods & Services;-0,016071339;0,080211759;225,7158899;225,7961017;0,47752809;0,048062875;0,62330596;2,169504644;0,706080911;1574,3;0;3,201976672
CHF_2010;CH0002088976_2010;CH0002088976;CH;Retail;-0,000821063;25,2667041;476,5380605;501,8047646;0,456790123;0,056070392;0,563794771;1,371891267;0,534497418;685,9;0;2,944104067
GBP_2010;GB0006027295_2010;GB0006027295;GB;Industrial Goods & Services;3,85225E-17;-121,5127816;609,0813587;487,5685771;0,15407855;0,04113434;0,756000774;1,43608522;0,417537747;670,8892;1;3,081355631
EUR_2010;BE0003555639_2010;BE0003555639;BE;Chemicals;-0,010845859;-24,3;204,9;180,6;0,372670807;0,012201592;0,570586502;1,335781041;0,471794872;779,9157;1;3,229553864
CHF_2010;CH0003671440_2010;CH0003671440;CH;Industrial Goods & Services;-0,010207709;71,78952434;902,141654;973,9311783;0,276;0,013457925;0,68127571;1,48763386;0,592605759;1341;0;3,198505813
EUR_2010;IT0003828271_2010;IT0003828271;IT;Healthcare;0;0;0;0;0;0,120490659;0,360756164;1,993558157;0,448540297;1475,3782;0;2,954760459
GBP_2010;GB00B135BJ46_2010;GB00B135BJ46;GB;Real Estate;0;0;0;0;0;0,049475559;0,586186424;0,269547325;0,051850386;503,6357;0;2,770720531
GBP_2010;GB0007590234_2010;GB0007590234;GB;Technology;0;0;0;0;0;0,112374243;0,457925953;1,347408068;0,550353232;552,0807;0;2,459876978
GBP_2010;GB0000536739_2010;GB0000536739;GB;Industrial Goods & Services;-1,6669E-18;-8,987977122;74,23835648;65,25037936;0,090909091;0,000563028;0,698842665;0,99787573;0,117547701;875,8185;1;3,270883874
EUR_2010;GRS426003000_2010;GRS426003000;GR;Oil & Gas;-2,96791E-18;-48,9;91,7;42,8;0,708029197;0,054705265;0,821545944;0,724372717;0,474906478;825,3333;1;3,379139384
NOK_2010;NO0010234552_2010;NO0010234552;NO;Financial Services;-0,005164763;-97,8548678;339,2302084;241,3753406;0,625827815;0,001551854;0,604131811;1,348585533;0,172231517;10132,4583;1;3,722250187
EUR_2010;GRS343313003_2010;GRS343313003;GR;Travel & Leisure;0;-4,8;4,8;0;0,866666667;0,033371267;0,671055305;1,915276683;0,345253118;398,9939;1;3,040416796
EUR_2010;FI0009007066_2010;FI0009007066;FI;Industrial Goods & Services;-0,004082978;-9,6;9,6;0;0,571428571;0,022138815;0,519660296;0,868291268;0,176516222;1070,6684;1;2,820386701
EUR_2010;GRS395363005_2010;GRS395363005;GR;Financial Services;0;-1,4;1,4;0;0,666666667;0,123958612;0,133880195;0,035498581;0,025715717;327,4967;1;2,234633687
