Key1;Key2;ISIN;Country;Industry;Corridor_per_TA;Funded_Status;FVDBO;FVPA;Duration;ROA;TDR;CR;Cap_Turn;MV_common_shares;FS_DUM;Size
USD_2011;GB0007980591_2011;GB0007980591;GB;Oil & Gas;0;-9267,181467;35584,55598;26317,37452;0,274935233;0,087686134;0,616191464;1,157332954;0,332973917;87384,0303;1;5,354698632
CHF_2011;CH0038863350_2011;CH0038863350;CH;Food & Beverages;0,000788844;-4840,989399;20921,1932;16080,2038;0,393634841;0,083152922;0,489232279;0,945844687;0,292082636;178200;1;4,971996496
EUR_2011;FR0000120271_2011;FR0000120271;FR;Oil & Gas;-0,006254229;-2294;9322;7028;0,279588336;0,0748313;0,577022719;1,363175025;0,388073076;93368,2407;1;5,214973587
USD_2011;CH0012005267_2011;CH0012005267;CH;Healthcare;0;0;0;0;0;0,077560087;0,438789406;1,040435459;0,204977191;147439,9576;0;4,957753313
CHF_2011;CH0012032048_2011;CH0012032048;CH;Healthcare;0,051740938;-1451,228532;10212,83589;8761,607363;0,387249115;0,151731194;0,764810965;1,741640962;0,458490321;138503,9792;1;4,704156582
EUR_2011;ES0178430E18_2011;ES0178430E18;ES;Telecommunications;0;-709;2001;1292;0,293706294;0,041682417;0,78874891;0,639173675;0,160642787;61089,0953;1;5,112682069
GBP_2011;GB0009252882_2011;GB0009252882;GB;Healthcare;-2,43427E-05;-3690,177826;19035,68445;15345,50662;0,292084727;0,128067186;0,785126582;1,077081945;0,393549172;74270,4562;1;4,690438245
USD_2011;GB00B03MLX29_2011;GB00B03MLX29;GB;Oil & Gas;-0,018319686;-4884,169884;54024,71042;49140,54054;0,27339688;0,089550683;0,504708087;1,166746218;0,346921279;152292,1649;1;5,425872724
EUR_2011;FR0000120578_2011;FR0000120578;FR;Healthcare;0;-4480;10475;5995;0,366528354;0,05683622;0,437038886;1,530550648;0,207567514;76066,5722;1;5,000715995
EUR_2011;DE000ENAG999_2011;DE000ENAG999;DE;Utilities;0;-3248;14607;11359;0,248182762;-0,014515412;0,740874719;1,098005636;0,331329478;35222,6;1;5,184327947
USD_2011;GB0007188757_2011;GB0007188757;GB;Basic Resources;0;-4523,552124;14620,07722;10096,5251;0,215517241;0,048818437;0,504722071;1,465831055;0,183914007;62279,0438;1;4,965261648
EUR_2011;DE0007236101_2011;DE0007236101;DE;Industrial Goods & Services;0;-6156;27121;20965;0,266049383;0,058948802;0,691528448;1,212419651;0,506633539;67596,2039;1;5,018046901
USD_2011;GB0000566504_2011;GB0000566504;GB;Basic Resources;0;-136,6795367;1577,606178;1440,926641;0,371257485;0,229835457;0,438677824;1,281102721;0,245696903;113041,7917;1;4,90010762
USD_2011;GB0009895292_2011;GB0009895292;GB;Healthcare;0;-2069,498069;8647,876448;6578,378378;0,227793696;0,188964603;0,555706985;1,492254952;0,444936589;38447,0995;1;4,610610842
EUR_2011;DE000BAY0017_2011;DE000BAY0017;DE;Chemicals;0;-7141;18332;11191;0,216037736;0,046811333;0,633620771;1,498730396;0,380327869;40851,2233;1;4,722345942
GBP_2011;GB0002875804_2011;GB0002875804;GB;Personal & Household Goods;0;-558,5392052;6745,435016;6186,895811;0,203966006;0,114126627;0,687525351;1,08257933;0,313249014;60162,4481;1;4,510081481
EUR_2011;IT0003132476_2011;IT0003132476;IT;Oil & Gas;-0,001441114;-540;1110;570;0,5125;0,047990486;0,577508832;1,071208212;0,267200672;64125,7967;1;5,155168969
USD_2011;GB0008762899_2011;GB0008762899;GB;Oil & Gas;-0,003616695;-336,6795367;1332,046332;995,3667954;0,448863636;0,068977876;0,516552084;1,356816202;0,203007396;46715,4191;1;4,675771266
USD_2011;GB00B1XZS820_2011;GB00B1XZS820;GB;Basic Resources;-0,001946385;-383,011583;2394,594595;2011,583012;0,092920354;0,085157781;0,403812705;2,360234776;0,266447641;31484,3777;1;4,747720664
EUR_2011;FR0010208488_2011;FR0010208488;FR;Utilities;0;-2294;6942;4648;0,439153439;0,018757322;0,623869547;1,132049911;0,297586805;47574,4003;1;5,329214766
