Key1;Key2;ISIN;Country;Industry;Corridor_per_TA;Funded_Status;FVDBO;FVPA;Duration;ROA;TDR;CR;Cap_Turn;MV_common_shares;FS_DUM;Size
EUR_2012;IT0003201198_2012;IT0003201198;IT;Industrial Goods & Services;0;0;0;0;0;0,089017246;0,637131123;1,972193388;0,24700796;1608,4328;0;3,743355147
CHF_2012;CH0030380734_2012;CH0030380734;CH;Technology;-0,027985941;63,76811594;418,0538302;481,8219462;0,414634146;0,030251139;0,202706878;3,965303902;0,59582483;702;0;2,776524323
GBP_2012;GB0002148343_2012;GB0002148343;GB;Financial Services;-7,4164E-18;-2,567551045;157,4764641;154,9089131;0,352941176;0,0256797;0,798284797;0,032113507;0,020508777;594,7277;1;3,143330604
GBP_2012;GB00B1VNST91_2012;GB00B1VNST91;GB;Technology;0;2,689815381;122,8756572;125,5654726;0,076923077;0,055608706;0,472733796;2,227016886;0,283903372;558,8888;0;3,009609955
EUR_2012;AT0000946652_2012;AT0000946652;AT;Oil & Gas;0;0;0;0;0;0,10869254;0,480082699;2,352794402;0,538677735;1274,3;0;2,84412786
EUR_2012;DE0005875306_2012;DE0005875306;DE;Media;-1,50557E-18;-69,9;135,4;65,5;0,457142857;0,027872365;0,586638538;0,844634953;0,275914663;1408,6855;1;3,274248626
EUR_2012;FI0009010391_2012;FI0009010391;FI;Personal & Household Goods;-0,063986165;-112,4;300,7;188,3;0,14084507;-0,003458712;0,608084738;1,37904202;0,574650526;617,452;1;3,142326883
EUR_2012;IT0000074614_2012;IT0000074614;IT;Financial Services;0;-0,26;0,35;0,09;0,375;-0,025929825;0,539625067;1,278249959;0,329154155;414,6006;1;4,018036819
EUR_2012;AT0000911805_2012;AT0000911805;AT;Industrial Goods & Services;0;0;0;0;0;0,034867541;0,586974119;0,399185087;0,07279551;1001,7;0;3,314247167
EUR_2012;IT0003697080_2012;IT0003697080;IT;Personal & Household Goods;0;0;0;0;0;0,0155271;0,376942434;1,990979747;0,705648623;563,5167;0;2,810600101
EUR_2012;GRS085101004_2012;GRS085101004;GR;Industrial Goods & Services;0;-22,6;22,6;0;0,615384615;-0,01463009;0,561374986;1,127952519;0,435164949;795,9017;1;3,534634074
EUR_2012;AT0000676903_2012;AT0000676903;AT;Industrial Goods & Services;-1,23005E-17;-252,8;339,8;87;0,196721311;0,061287359;0,740312382;1,537509913;0,523915041;1015,8;1;3,267242149
EUR_2012;LU0253815640_2012;LU0253815640;LU;Telecommunications;-1,08304E-18;-5,4;29,6;24,2;0,818181818;0,013803531;0,276558385;0,977447745;0,260023412;1309,3;1;3,311796229
GBP_2012;GB00B3FLWH99_2012;GB00B3FLWH99;GB;Industrial Goods & Services;7,14375E-18;-23,35248808;133,8794474;110,5269593;0,189655172;0,084405753;0,363613424;0,705823293;0,177390866;859,1114;1;2,98635386
DKK_2012;DK0010006329_2012;DK0010006329;DK;Industrial Goods & Services;0;0;0;0;0;0,020203468;0,550508669;1,389384289;0,468835077;1173,0695;0;2,971036906
GBP_2012;GB0001765816_2012;GB0001765816;GB;Financial Services;7,96169E-18;-11,98190488;86,31862086;74,33671598;0,051987768;0,048168417;0,635303635;0,755765575;0,122937704;503,7904;1;2,736854663
GBP_2012;GB0007282386_2012;GB0007282386;GB;Personal & Household Goods;-9,64088E-18;-3,178872723;108,0816726;104,9027999;0,098039216;0,034506399;0,358432358;3,34283247;0,884597806;602,7738;1;3,029407101
EUR_2012;AT0000741053_2012;AT0000741053;AT;Utilities;0;-275;275;0;0,133802817;0,028397832;0,560889964;1,028466133;0,117918755;2065,7;1;3,836526655
GBP_2012;GB0001528156_2012;GB0001528156;GB;Industrial Goods & Services;7,71002E-17;-123,6092432;977,2588336;853,6495904;0,150259067;0,151008229;0,700877114;0,968361769;0,528619224;488,9948;1;3,13101565
